# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	77488
#@/user_id	stella
a 	啊	c=225 d=5.44479 t=77488
xia qiu 	夏秋	c=1 d=2.76077e-06 t=77488
xia ri 	暇日	c=0 d=3.2175e-14 t=77488
xia shu 	下屬	c=1 d=2.72013e-08 t=77488
xia tian 	夏天	c=2 d=0.105482 t=77488
xia tiao 	下調	c=11 d=1.65204 t=77488
xia wei 	蝦尾	c=1 d=0.0769192 t=77488
xia wu 	下午	c=95 d=4.32883 t=77488
xia xiao hua dao 	下消化道	c=1 d=0.135335 t=77488
xia xing 	下行	c=0 d=0.0191092 t=77488
xia xue 	下學	c=0 d=0.0551563 t=77488
xia xue 	下雪	c=4 d=0.240885 t=77488
xia xue qi 	下學期	c=2 d=0.594469 t=77488
xia yi 	下一	c=0 d=0.0142987 t=77488
xia yi bo ci 	下一波次	c=1 d=6.77403e-07 t=77488
xia yi bu 	下一步	c=12 d=0.64225 t=77488
xia yi bu fen 	下一部分	c=1 d=0.183599 t=77488
xia yi ge 	下一個	c=2 d=0.786628 t=77488
xia yi ji 	下一季	c=1 d=0.00165327 t=77488
xia yi ji 	下一集	c=1 d=0.00166156 t=77488
xia yi jie duan 	下一階段	c=1 d=0.0152222 t=77488
xia yi lun 	下一輪	c=1 d=0.0156076 t=77488
xia yi nian 	下一年	c=1 d=0.0824965 t=77488
xia yi wei 	下一位	c=2 d=0.143704 t=77488
xia you 	下有	c=0 d=3.19373e-15 t=77488
xia you 	下游	c=3 d=1.15349 t=77488
xia you chong bo ni zhe 	下有衝波逆折	c=1 d=3.20974e-14 t=77488
xia yu 	下雨	c=6 d=0.4625 t=77488
xia zai 	下載	c=60 d=4.86129 t=77488
xia zai di zhi 	下載地址	c=2 d=1.11152 t=77488
xia zhou 	下週	c=6 d=0.701436 t=77488
xia zhou er 	下週二	c=1 d=0.000911882 t=77488
xia zhou liu 	下週六	c=1 d=0.00129402 t=77488
xia zhou san 	下週三	c=2 d=0.0347353 t=77488
xia zhou yi 	下週一	c=1 d=5.71404e-05 t=77488
xian 	仙	c=0 d=2.18407e-15 t=77488
xian 	先	c=87 d=2.62804 t=77488
xian 	嫌	c=3 d=0.326789 t=77488
xian 	現	c=4 d=0.478378 t=77488
xian 	線	c=1 d=0.750404 t=77488
xian 	纖	c=0 d=0.00464212 t=77488
xian 	羨	c=0 d=1.73445e-09 t=77488
xian 	閒	c=0 d=6.41649e-14 t=77488
xian 	限	c=0 d=0.0460704 t=77488
xian 	險	c=0 d=3.5651e-15 t=77488
xian 	顯	c=0 d=2.04558e-09 t=77488
xian 	鮮	c=0 d=0.00655462 t=77488
xian an 	酰胺	c=1 d=0.0366261 t=77488
xian an jian 	酰胺鍵	c=1 d=0.00384878 t=77488
xian ba 	先把	c=2 d=0.102797 t=77488
xian bu 	先不	c=3 d=0.794534 t=77488
xian bu que ding 	先不確定	c=1 d=0.085435 t=77488
xian chang 	現場	c=8 d=0.66128 t=77488
xian chang diao cha 	現場調查	c=0 d=1.17168e-12 t=77488
xian chang jiang zhi wu qiong 	羨長江之無窮	c=1 d=1.12592e-13 t=77488
xian chang liu xing bing xue 	現場流行病學	c=1 d=5.58738e-06 t=77488
xian chang shi yan 	現場試驗	c=2 d=5.2474e-12 t=77488
xian chen 	纖塵	c=0 d=4.06003e-15 t=77488
xian cheng 	現成	c=4 d=0.804628 t=77488
xian cheng 	縣城	c=2 d=0.849804 t=77488
xian chi 	咸池	c=0 d=0.0771052 t=77488
xian chu 	顯出	c=1 d=0.519442 t=77488
xian cong 	先從	c=1 d=7.04928e-05 t=77488
xian dai 	現代	c=12 d=1.39051 t=77488
xian dai han yu 	現代漢語	c=0 d=0.0327915 t=77488
xian dai han yu ci dian 	現代漢語詞典	c=1 d=0.329559 t=77488
xian dai hua 	現代化	c=3 d=1.0267 t=77488
xian dai hua jian she 	現代化建設	c=1 d=0.52705 t=77488
xian dai mian yi xue 	現代免疫學	c=1 d=0.0317456 t=77488
xian dai nong ye 	現代農業	c=1 d=0.574072 t=77488
xian dai wen 	現代問	c=-1 d=3.1625e-16 t=77488
xian dai wen 	現代文	c=3 d=0.0110536 t=77488
xian dan 	鹹淡	c=1 d=3.06642e-06 t=77488
xian de 	顯得	c=2 d=0.0149208 t=77488
xian di 	獻帝	c=0 d=0.0767206 t=77488
xian ding 	限定	c=1 d=0.955997 t=77488
xian du 	限度	c=1 d=0.000575656 t=77488
xian e 	限額	c=2 d=0.501631 t=77488
xian er yi jian 	顯而易見	c=1 d=0.0724398 t=77488
xian fa 	先發	c=2 d=0.712624 t=77488
xian gan 	腺苷	c=1 d=0.127464 t=77488
xian gan san lin suan 	腺苷三磷酸	c=1 d=0.117068 t=77488
xian gan suan 	腺苷酸	c=1 d=0.104392 t=77488
xian gan suan huan hua mei 	腺苷酸環化酶	c=1 d=0.484325 t=77488
xian ge 	絃歌	c=0 d=8.52724e-10 t=77488
xian ge ning er bai yun e 	纖歌凝而白雲遏	c=3 d=0.640641 t=77488
xian gen 	先跟	c=1 d=0.923116 t=77488
xian guan 	縣官	c=1 d=2.41051e-145 t=77488
xian guang pu 	線光譜	c=1 d=0.214381 t=77488
xian guo 	鮮果	c=0 d=0.00266491 t=77488
xian guo xin ling yin 	閒過信陵飲	c=1 d=2.72152e-14 t=77488
xian hou 	先後	c=1 d=0.066034 t=77488
xian hou shun xu 	先後順序	c=1 d=0.514274 t=77488
xian hou yin fa 	先後印發	c=1 d=0.66365 t=77488
xian huan 	現患	c=1 d=0.000257369 t=77488
xian huan 	顯宦	c=1 d=0.000256085 t=77488
xian huan lv 	現患率	c=1 d=1.20798e-12 t=77488
xian huan xin fa 	現患新發	c=1 d=4.20393e-12 t=77488
xian ji 	縣級	c=0 d=0.00335406 t=77488
xian ji zheng fu 	縣級政府	c=1 d=0.0337087 t=77488
xian jiao 	先交	c=1 d=1.33711e-06 t=77488
xian jie duan 	現階段	c=1 d=0.00186406 t=77488
xian jin 	先進	c=2 d=0.882453 t=77488
xian jin 	現金	c=4 d=0.980158 t=77488
xian jin gong zuo zhe 	先進工作者	c=2 d=0.435582 t=77488
xian jin ji shu 	先進技術	c=1 d=1.9119e-07 t=77488
xian jin shui ping 	先進水平	c=1 d=0.171187 t=77488
xian jin zhi zao 	先進製造	c=1 d=0.0845849 t=77488
xian jin zhi zao gong ye yun ping tai 	先進製造工業雲平臺	c=1 d=0.0584257 t=77488
xian ju 	閒居	c=0 d=1.33135e-15 t=77488
xian ju yao lu jin 	先據要路津	c=1 d=8.27522e-09 t=77488
xian ka 	顯卡	c=5 d=1.00495 t=77488
xian kan 	先看	c=2 d=0.737123 t=77488
xian kuang 	現況	c=1 d=0.00729603 t=77488
xian kuang diao cha 	現況調查	c=1 d=4.37327e-06 t=77488
xian kuang yan jiu 	現況研究	c=2 d=4.03213e-12 t=77488
xian lai 	閒來	c=0 d=5.29197e-15 t=77488
xian lai chui diao bi xi shang 	閒來垂釣碧溪上	c=1 d=5.3185e-14 t=77488
xian li 	縣裏	c=3 d=0.802804 t=77488
xian li ti 	線粒體	c=2 d=1.48648e-06 t=77488
xian li zhong 	霰粒腫	c=1 d=0.000241172 t=77488
xian lian dan bai 	纖連蛋白	c=2 d=0.0461896 t=77488
xian liang 	限量	c=0 d=0.0790571 t=77488
xian lin 	仙林	c=2 d=1.25629 t=77488
xian lu 	線路	c=1 d=0.00697795 t=77488
xian ming 	鮮明	c=1 d=0.882497 t=77488
xian mu 	羨慕	c=1 d=0.0323033 t=77488
xian ni 	嫌你	c=1 d=0.00421123 t=77488
xian pen 	閒噴	c=1 d=0.0850088 t=77488
xian piao ling 	腺嘌呤	c=6 d=1.13255 t=77488
xian qing 	閒情	c=1 d=0.267135 t=77488
xian qu 	先去	c=9 d=0.460768 t=77488
xian qu 	先取	c=0 d=0.0882497 t=77488
xian qu jing zhou hou qu chuan 	先取荊州後取川	c=1 d=0.88692 t=77488
xian ran 	顯然	c=1 d=0.449329 t=77488
xian ren 	仙人	c=0 d=2.64747e-14 t=77488
xian ren 	現任	c=1 d=0.494109 t=77488
xian se fan ying 	顯色反應	c=1 d=0.00299743 t=77488
xian shang 	線上	c=1 d=0.156458 t=77488
xian shang yu xian xia 	線上與線下	c=1 d=0.697676 t=77488
xian shao 	嫌少	c=1 d=0.0314298 t=77488
xian sheng 	先生	c=4 d=1.01791 t=77488
xian sheng men 	先生們	c=2 d=0.195003 t=77488
xian shi 	先使	c=1 d=0.402524 t=77488
xian shi 	先是	c=1 d=0.00660453 t=77488
xian shi 	現實	c=2 d=0.425219 t=77488
xian shi 	縣市	c=2 d=0.794534 t=77488
xian shi 	顯示	c=23 d=1.99831 t=77488
xian shi fa zhan 	現實發展	c=1 d=0.527292 t=77488
xian shi wei 	顯示爲	c=1 d=0.08291 t=77488
xian shi xi tong 	顯示系統	c=3 d=1.63743 t=77488
xian shuo 	先說	c=1 d=0.00615802 t=77488
xian su 	限速	c=3 d=0.809622 t=77488
xian su mei 	限速酶	c=2 d=0.102284 t=77488
xian suan 	先算	c=1 d=2.1992e-07 t=77488
xian suan 	鹹酸	c=1 d=2.18824e-07 t=77488
xian suo 	線索	c=1 d=2.0268e-12 t=77488
xian tan 	險灘	c=0 d=0.0290835 t=77488
xian tian 	先天	c=2 d=0.130434 t=77488
xian tian xing 	先天性	c=1 d=0.000208619 t=77488
xian tian xing mian yi 	先天性免疫	c=1 d=0.000263884 t=77488
xian tian yin su 	先天因素	c=1 d=7.58385e-12 t=77488
xian tiao 	線條	c=1 d=0.782705 t=77488
xian tu 	線圖	c=6 d=2.91727 t=77488
xian wang 	先往	c=1 d=1.97489e-06 t=77488
xian wei 	縣委	c=2 d=1.96157e-07 t=77488
xian wei 	纖維	c=3 d=0.431562 t=77488
xian wei hua 	纖維化	c=2 d=0.608748 t=77488
xian wei su 	纖維素	c=1 d=4.44225e-10 t=77488
xian wei xi bao 	纖維細胞	c=0 d=0.0873716 t=77488
xian wei zhuang 	纖維狀	c=4 d=0.335007 t=77488
xian xi 	纖細	c=2 d=0.955997 t=77488
xian xia 	線下	c=1 d=0.157242 t=77488
xian xia 	閒暇	c=0 d=0.0400517 t=77488
xian xia shi guang 	閒暇時光	c=1 d=0.402524 t=77488
xian xian 	纖纖	c=0 d=0.0332871 t=77488
xian xian 	閑閑	c=0 d=1.21069e-15 t=77488
xian xian 	顯現	c=0 d=0.0438235 t=77488
xian xian chu su shou 	纖纖出素手	c=1 d=7.05168e-09 t=77488
xian xian zhuo su shou 	纖纖擢素手	c=1 d=0.33454 t=77488
xian xiang 	現象	c=14 d=1.43589 t=77488
xian xiang zhong 	現象中	c=1 d=0.726149 t=77488
xian xie 	先寫	c=1 d=2.23634e-145 t=77488
xian xing 	先行	c=0 d=0.0363514 t=77488
xian xing 	線性	c=20 d=4.13127 t=77488
xian xing 	限行	c=2 d=0.431711 t=77488
xian xing biao wei 	線性表位	c=4 d=0.439741 t=77488
xian xing dai shu 	線性代數	c=1 d=0.913931 t=77488
xian xing duan tai 	線性短肽	c=1 d=0.108609 t=77488
xian xing fan wei kuan 	線性範圍寬	c=1 d=0.882497 t=77488
xian xing fang cheng 	線性方程	c=2 d=0.513328 t=77488
xian xing hui gui 	線性回歸	c=1 d=8.50668e-10 t=77488
xian xing ji yin 	顯性基因	c=1 d=0.00104891 t=77488
xian xing jiu zhu 	先行救助	c=1 d=0.304221 t=77488
xian xing pai lie 	線性排列	c=1 d=0.0845849 t=77488
xian xing xian shi 	先行先試	c=3 d=0.317993 t=77488
xian xing xiang guan 	線性相關	c=1 d=1.15126e-10 t=77488
xian yan 	鮮豔	c=1 d=0.402524 t=77488
xian yang 	咸陽	c=0 d=0.0752014 t=77488
xian yao 	先要	c=1 d=0.927743 t=77488
xian you 	現有	c=10 d=1.03164 t=77488
xian you da 	現有大	c=1 d=0.479505 t=77488
xian yu 	閒魚	c=2 d=0.225373 t=77488
xian yu 	限於	c=2 d=0.45341 t=77488
xian yuan wu ran 	線源污染	c=1 d=1.65012e-10 t=77488
xian yun tan ying ri you you 	閒雲潭影日悠悠	c=3 d=1.00982 t=77488
xian zai 	現在	c=177 d=4.61545 t=77488
xian zai kuai 	現在快	c=-1 d=6.20702e-08 t=77488
xian zai qu 	現在去	c=1 d=0.110251 t=77488
xian zai shi 	現在是	c=1 d=0.0773047 t=77488
xian zhe 	閒着	c=2 d=1.80067 t=77488
xian zheng fu 	縣政府	c=1 d=0.759572 t=77488
xian zhi 	閒置	c=0 d=0.00368832 t=77488
xian zhi 	限值	c=10 d=1.00033 t=77488
xian zhi 	限制	c=9 d=0.726149 t=77488
xian zhi an ji suan 	限制氨基酸	c=2 d=5.86274e-10 t=77488
xian zhi dian 	限值點	c=1 d=0.865022 t=77488
xian zhi ren xi lie ru ma 	仙之人兮列如麻	c=1 d=2.19502e-14 t=77488
xian zhi xing 	限制性	c=2 d=0.579842 t=77488
xian zhi xing pian duan chang du duo tai xing 	限制性片段長度多態性	c=1 d=2.93199e-08 t=77488
xian zhu 	顯著	c=17 d=1.38039 t=77488
xian zhu ci ji 	顯著刺激	c=1 d=0.203926 t=77488
xian zhu de 	顯著的	c=1 d=0.839457 t=77488
xian zhu ti sheng 	顯著提升	c=1 d=0.0267827 t=77488
xian zhu xing 	顯著性	c=2 d=0.115325 t=77488
xian zhu xing jian yan 	顯著性檢驗	c=2 d=1.53865e-10 t=77488
xian zhu xing shui ping 	顯著性水平	c=1 d=2.48686e-12 t=77488
xian zhuang 	現狀	c=7 d=1.23026 t=77488
xiang 	像	c=11 d=1.02267 t=77488
xiang 	向	c=16 d=1.77488 t=77488
xiang 	想	c=71 d=3.23641 t=77488
xiang 	相	c=4 d=0.211781 t=77488
xiang 	箱	c=0 d=3.03694e-11 t=77488
xiang 	襄	c=0 d=0.0810584 t=77488
xiang 	鄉	c=0 d=4.80077e-16 t=77488
xiang 	響	c=0 d=0.0142987 t=77488
xiang 	項	c=0 d=0.055037 t=77488
xiang 	香	c=1 d=0.364219 t=77488
xiang bi 	相比	c=11 d=0.734212 t=77488
xiang bi yu 	相比於	c=2 d=0.000333189 t=77488
xiang bu hao 	想不好	c=1 d=0.0689068 t=77488
xiang bu ming bai 	想不明白	c=1 d=0.640824 t=77488
xiang bu qi lai 	想不起來	c=1 d=0.810584 t=77488
xiang bu xiang 	像不像	c=1 d=9.49258e-06 t=77488
xiang bu xiang 	想不想	c=1 d=0.496585 t=77488
xiang cha 	相差	c=5 d=0.601896 t=77488
xiang cha bu da 	相差不大	c=1 d=0.053397 t=77488
xiang chen 	相稱	c=1 d=0.904837 t=77488
xiang chi 	想吃	c=6 d=0.845424 t=77488
xiang chui zhi 	相垂直	c=1 d=0.506617 t=77488
xiang cun 	鄉村	c=1 d=0.582748 t=77488
xiang cun jiao shi 	鄉村教師	c=3 d=2.09716 t=77488
xiang cun jiao yu 	鄉村教育	c=1 d=0.650509 t=77488
xiang dai 	想帶	c=1 d=2.70657e-08 t=77488
xiang dang 	相當	c=2 d=0.25924 t=77488
xiang dang yu 	相當於	c=15 d=1.13345 t=77488
xiang dao 	想到	c=5 d=0.863894 t=77488
xiang de 	想的	c=1 d=0.000773179 t=77488
xiang dei 	想得	c=1 d=4.57456e-06 t=77488
xiang deng 	相等	c=8 d=1.25963 t=77488
xiang dong 	想動	c=0 d=0.0154124 t=77488
xiang du 	響度	c=0 d=2.58167e-12 t=77488
xiang du ji 	響度級	c=1 d=2.59461e-11 t=77488
xiang dui 	相對	c=9 d=0.787307 t=77488
xiang dui bi 	相對比	c=1 d=7.64029e-11 t=77488
xiang dui dan bai zhi zhi 	相對蛋白質值	c=1 d=3.17672e-10 t=77488
xiang dui jiao duo 	相對較多	c=1 d=0.0483156 t=77488
xiang dui shu 	相對數	c=2 d=0.0158434 t=77488
xiang dui si wang bi 	相對死亡比	c=1 d=8.57144e-11 t=77488
xiang dui wei xian du 	相對危險度	c=2 d=7.92259e-11 t=77488
xiang dui wei xian du jiang di 	相對危險度降低	c=1 d=5.21229e-12 t=77488
xiang dui zhuan yi xing 	相對專一性	c=1 d=0.193013 t=77488
xiang fa 	想法	c=21 d=0.987575 t=77488
xiang fa 	想發	c=1 d=4.67826e-05 t=77488
xiang fan 	相反	c=8 d=1.56418 t=77488
xiang fan bian hua 	相反變化	c=1 d=0.0611149 t=77488
xiang fu 	相府	c=0 d=0.0831104 t=77488
xiang fu 	相符	c=1 d=0.00113627 t=77488
xiang gai 	想改	c=1 d=1.33434e-11 t=77488
xiang gang 	香港	c=3 d=0.439326 t=77488
xiang gang di qu 	香港地區	c=1 d=0.235746 t=77488
xiang ge 	像個	c=2 d=0.23947 t=77488
xiang ge 	想個	c=0 d=0.0121846 t=77488
xiang ge fa er 	想個法兒	c=1 d=0.122456 t=77488
xiang gei 	想給	c=2 d=0.0611149 t=77488
xiang gen 	想跟	c=1 d=0.0692522 t=77488
xiang guan 	相關	c=43 d=2.38389 t=77488
xiang guan chan ye sheng ji 	相關產業升級	c=1 d=0.690734 t=77488
xiang guan fang mian 	相關方面	c=1 d=0.285076 t=77488
xiang guan guan xi 	相關關係	c=1 d=0.01649 t=77488
xiang guan ji yin 	相關基因	c=1 d=0.0605068 t=77488
xiang guan ke shi 	相關科室	c=1 d=0.00381048 t=77488
xiang guan lin ba xi bao 	相關淋巴細胞	c=1 d=0.0196437 t=77488
xiang guan lin ba zu zhi 	相關淋巴組織	c=3 d=0.0591309 t=77488
xiang guan she hui zu zhi 	相關社會組織	c=1 d=0.0426384 t=77488
xiang guan shi yi 	相關事宜	c=1 d=0.637628 t=77488
xiang guan tou zi shen pi 	相關投資審批	c=1 d=0.07502 t=77488
xiang guan wen jian 	相關文件	c=2 d=0.909778 t=77488
xiang guan xing 	相關性	c=6 d=0.891369 t=77488
xiang guan xing yan jiu 	相關性研究	c=1 d=2.65388e-12 t=77488
xiang guan yin su 	相關因素	c=1 d=0.0219278 t=77488
xiang guan zheng ce 	相關政策	c=0 d=0.029523 t=77488
xiang guan zheng ce luo shi 	相關政策落實	c=1 d=0.29671 t=77488
xiang guan zhi ze 	相關職責	c=1 d=0.562705 t=77488
xiang guo 	想過	c=1 d=0.446758 t=77488
xiang guo zhi hou 	想過之後	c=1 d=0.524663 t=77488
xiang hai 	向海	c=-1 d=2.18295e-08 t=77488
xiang hao 	向好	c=2 d=0.106837 t=77488
xiang hao 	想好	c=3 d=0.0804437 t=77488
xiang hou 	向後	c=1 d=0.044601 t=77488
xiang hu 	相互	c=13 d=0.956677 t=77488
xiang hu jie chu 	相互接觸	c=1 d=0.00548905 t=77488
xiang hu lian xi 	相互聯繫	c=3 d=6.7721e-06 t=77488
xiang hu lin jin 	相互臨近	c=1 d=0.474734 t=77488
xiang hu tiao jie 	相互調節	c=1 d=5.49092e-07 t=77488
xiang hu xie tong 	相互協同	c=1 d=0.0275983 t=77488
xiang hu zun zhong 	相互尊重	c=1 d=0.00148848 t=77488
xiang hu zuo 	相互做	c=-1 d=6.2694e-08 t=77488
xiang hu zuo yong 	相互作用	c=7 d=0.50367 t=77488
xiang ji 	相機	c=3 d=0.34958 t=77488
xiang ji 	相繼	c=2 d=0.348245 t=77488
xiang jia 	相加	c=0 d=1.3783e-11 t=77488
xiang jia zuo yong 	相加作用	c=1 d=1.38521e-10 t=77488
xiang jiao 	想叫	c=1 d=0.00388746 t=77488
xiang jiao 	香蕉	c=1 d=0.00386807 t=77488
xiang jie 	詳解	c=2 d=1.07172 t=77488
xiang jie he 	相結合	c=2 d=0.704688 t=77488
xiang jin 	相近	c=6 d=0.491644 t=77488
xiang jin si 	相近似	c=1 d=0.737123 t=77488
xiang ju 	相聚	c=0 d=0.00124629 t=77488
xiang ju 	相距	c=2 d=0.0124629 t=77488
xiang ju zai 	相聚在	c=1 d=0.0125254 t=77488
xiang kai dian 	想開點	c=1 d=0.0593087 t=77488
xiang kan liang bu yan 	相看兩不厭	c=1 d=5.90732e-14 t=77488
xiang ke 	相剋	c=1 d=0.0119742 t=77488
xiang kuang 	相框	c=1 d=0.0368832 t=77488
xiang lai 	向來	c=1 d=0.145148 t=77488
xiang le 	想了	c=2 d=0.650258 t=77488
xiang lian 	相連	c=10 d=0.746603 t=77488
xiang lian cheng 	相連成	c=1 d=0.064894 t=77488
xiang lian jie 	相連接	c=2 d=0.192343 t=77488
xiang liang 	向量	c=2 d=0.588605 t=77488
xiang lin 	相鄰	c=6 d=0.57238 t=77488
xiang long shi ba zhang 	降龍十八掌	c=3 d=0.0386585 t=77488
xiang mu 	項目	c=16 d=1.6049 t=77488
xiang mu gong zi 	項目工資	c=1 d=0.161218 t=77488
xiang nan 	向南	c=1 d=0.307279 t=77488
xiang nian 	想念	c=1 d=0.71177 t=77488
xiang nuan yi zhi kai 	向暖一枝開	c=1 d=0.980199 t=77488
xiang pi 	橡皮	c=0 d=3.20756e-07 t=77488
xiang pi pei 	相匹配	c=1 d=0.865022 t=77488
xiang qi 	想起	c=4 d=0.862637 t=77488
xiang qi lai 	想起來	c=1 d=0.755784 t=77488
xiang qi le 	想起了	c=1 d=0.491644 t=77488
xiang qian 	向前	c=0 d=0.0085435 t=77488
xiang qian fa zhan 	向前發展	c=1 d=0.000934966 t=77488
xiang qian jin 	向前進	c=0 d=0.0511709 t=77488
xiang qin 	相親	c=1 d=0.826959 t=77488
xiang qing 	詳情	c=3 d=0.404542 t=77488
xiang qing chu 	想清楚	c=1 d=0.704688 t=77488
xiang qiong peng li zhi bin 	響窮彭蠡之濱	c=3 d=1.26244 t=77488
xiang qu 	想去	c=4 d=0.820524 t=77488
xiang qu 	相去	c=3 d=0.826297 t=77488
xiang qu bie 	相區別	c=1 d=0.0572688 t=77488
xiang qu fu ji xu 	相去復幾許	c=1 d=0.343009 t=77488
xiang qu ri yi yuan 	相去日已遠	c=1 d=6.6079e-09 t=77488
xiang qu wan yu li 	相去萬餘里	c=1 d=6.4126e-09 t=77488
xiang rong 	相溶	c=0 d=0.000272578 t=77488
xiang rong xing 	相容性	c=0 d=0.000331267 t=77488
xiang she hui gong kai 	向社會公開	c=1 d=0.157237 t=77488
xiang sheng 	相聲	c=2 d=1.05872 t=77488
xiang shi 	像是	c=3 d=0.461525 t=77488
xiang shi 	相識	c=0 d=9.86286e-16 t=77488
xiang shi tu 	箱式圖	c=1 d=9.9586e-11 t=77488
xiang shou 	享受	c=2 d=0.565525 t=77488
xiang shou dao 	享受到	c=0 d=0.0588605 t=77488
xiang shu 	詳述	c=1 d=1.10823e-150 t=77488
xiang si 	相似	c=8 d=0.303819 t=77488
xiang si 	相思	c=0 d=4.31109e-15 t=77488
xiang si de 	相似的	c=1 d=0.158025 t=77488
xiang si er sheng 	向死而生	c=1 d=0.40657 t=77488
xiang si xiang rong 	相似相溶	c=1 d=0.00273944 t=77488
xiang sui 	相隨	c=0 d=2.36598e-15 t=77488
xiang tian 	向天	c=0 d=1.87985e-15 t=77488
xiang ting 	想聽	c=-1 d=3.2566e-08 t=77488
xiang tong 	相同	c=17 d=1.29459 t=77488
xiang tong de 	相同的	c=1 d=0.0081887 t=77488
xiang tong hua xue fan ying 	相同化學反應	c=1 d=0.0297478 t=77488
xiang tong pin lv 	相同頻率	c=2 d=0.2696 t=77488
xiang tou 	想透	c=1 d=0.666977 t=77488
xiang wang 	相望	c=0 d=7.63907e-10 t=77488
xiang wei 	香味	c=1 d=0.995012 t=77488
xiang wen 	想問	c=2 d=0.67368 t=77488
xiang xi 	詳細	c=9 d=1.17348 t=77488
xiang xia 	向下	c=1 d=0.559898 t=77488
xiang xiang 	想想	c=31 d=1.48899 t=77488
xiang xiang 	想象	c=1 d=0.0213312 t=77488
xiang xiang zhong 	想象中	c=1 d=0.214381 t=77488
xiang xie tiao 	相協調	c=1 d=0.873716 t=77488
xiang xin 	相信	c=3 d=0.669211 t=77488
xiang ya 	湘雅	c=1 d=0.000773179 t=77488
xiang yang 	襄陽	c=1 d=0.178173 t=77488
xiang yang hao 	襄陽好	c=1 d=1.30498e-14 t=77488
xiang yao 	想要	c=5 d=0.425721 t=77488
xiang ying 	相應	c=18 d=1.52153 t=77488
xiang ying 	響應	c=3 d=0.000470109 t=77488
xiang ying de 	相應的	c=2 d=0.461307 t=77488
xiang ying di 	相應地	c=1 d=0.0124007 t=77488
xiang you 	向右	c=1 d=0.187308 t=77488
xiang yu 	相與	c=0 d=1.48381e-14 t=77488
xiang yu 	相遇	c=1 d=0.000611253 t=77488
xiang yu zhen jie hu 	相與枕藉乎	c=1 d=1.36835e-13 t=77488
xiang zai 	想在	c=1 d=0.167797 t=77488
xiang zhe 	想着	c=15 d=0.815715 t=77488
xiang zhen 	鄉鎮	c=4 d=0.671163 t=77488
xiang zheng xing 	象徵性	c=1 d=0.00147367 t=77488
xiang zhuo 	相着	c=2 d=0.0205478 t=77488
xiang zi 	箱子	c=3 d=0.210553 t=77488
xiao 	嘯	c=0 d=1.50109e-15 t=77488
xiao 	宵	c=0 d=2.40173e-15 t=77488
xiao 	小	c=22 d=3.28868 t=77488
xiao 	效	c=0 d=3.92987e-14 t=77488
xiao 	校	c=7 d=1.44862 t=77488
xiao 	笑	c=0 d=0.0748264 t=77488
xiao 	銷	c=0 d=8.15993e-15 t=77488
xiao 	霄	c=0 d=5.09764e-16 t=77488
xiao ban 	小半	c=0 d=0.000711891 t=77488
xiao ban deng 	小板凳	c=1 d=0.647265 t=77488
xiao ban ge 	小半個	c=1 d=1.53407e-05 t=77488
xiao bao 	小包	c=2 d=0.923116 t=77488
xiao ben 	小本	c=1 d=0.198891 t=77488
xiao bu chu lai 	笑不出來	c=1 d=0.752014 t=77488
xiao chang 	小腸	c=4 d=0.00105454 t=77488
xiao chen 	囂塵	c=0 d=6.71119e-16 t=77488
xiao chen zi zi ge 	囂塵自茲隔	c=1 d=6.74483e-15 t=77488
xiao cheng 	小成	c=1 d=0.00214418 t=77488
xiao chu 	消除	c=3 d=1.10003 t=77488
xiao chu le 	消除了	c=2 d=0.409003 t=77488
xiao chu zhuo yan 	小處着眼	c=1 d=0.12493 t=77488
xiao chuan 	哮喘	c=11 d=2.72685 t=77488
xiao chuang kou 	小窗口	c=1 d=0.00124328 t=77488
xiao dang wei 	校黨委	c=2 d=0.00506947 t=77488
xiao ding dao 	校頂到	c=-1 d=0.66034 t=77488
xiao dong xi 	小東西	c=1 d=0.562705 t=77488
xiao du 	效度	c=2 d=0.995012 t=77488
xiao du 	消毒	c=2 d=0.398519 t=77488
xiao duan 	小段	c=0 d=0.0955997 t=77488
xiao duan wen 	小短文	c=1 d=0.247833 t=77488
xiao er shu ji 	校二書記	c=5 d=0.04573 t=77488
xiao fan dian 	小飯店	c=1 d=0.0500366 t=77488
xiao fan wei 	小範圍	c=1 d=0.00941925 t=77488
xiao fang 	校方	c=1 d=1.04945e-09 t=77488
xiao fang 	消防	c=1 d=0.00338776 t=77488
xiao fei 	消費	c=4 d=0.743084 t=77488
xiao fei fang shi 	消費方式	c=1 d=0.932394 t=77488
xiao fei guan nian 	消費觀念	c=1 d=0.891366 t=77488
xiao fei sheng ji 	消費升級	c=1 d=0.416862 t=77488
xiao fei xu qiu 	消費需求	c=1 d=0.394554 t=77488
xiao fei yang 	小肥羊	c=1 d=0.00640933 t=77488
xiao fei zhe 	消費者	c=6 d=1.77581 t=77488
xiao fei zhe quan yi 	消費者權益	c=1 d=0.591555 t=77488
xiao fen zi 	小分子	c=2 d=0.822552 t=77488
xiao fen zi you ji wu 	小分子有機物	c=1 d=0.26054 t=77488
xiao feng 	蕭峯	c=2 d=0.0270725 t=77488
xiao gai lv 	小概率	c=2 d=1.41051 t=77488
xiao ge 	小個	c=1 d=5.96364e-08 t=77488
xiao ge 	小哥	c=2 d=0.814647 t=77488
